Original_sentence,True_label
"In addition, as introduced in Section 3.1.3.1 ‘Classical image pro-cessing’, RST outputs voxel-wise maps with intensities indicating local radial symmetry, and can therefore be used as shape features in clas-sical machine learning approaches (Roy et al., 2015).",['no_url']
"Vries, I.E.J.de, Driel, J.van, Olivers, C.N.L., 2017.",['no_url']
All electrode coordinates and labels were saved and matched with the electrode names on IEEG.org.,['res']
"Wen, J., Thibeau-Sutre, E., Diaz-Melo, M., Samper-Gonzalez, J., Routier, A., Bot-tani, S.Lifestyle ﬂagship study of, a, 2020.",['no_url']
"∗ Data used in preparation of this article were obtained from the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database (adni.loni.usc.edu)., A complete listing of ADNI investigators can be found at: http://adni.loni.usc.edu/wp-content/uploads/how_to_apply/ADNI_Acknowledgement_List.pdf., GE(N = 232) Philips (N = 172) Siemens (N = 537) Total (N = 941) p-value ADNI Memory 0.043 -Mean (SD) 0.38(0.95) 0.36(0.92) 0.52(0.90) 0.45(0.91) Diagnosis, n(%) 0.034 -CN 99(42.7%) 64(37.2%) 254(47.3%) 417(44.3%) -MCI 87(37.5%) 77(44.8%) 214(39.9%) 378(40.2%) -AD 46(19.8%) 31(18.0%) 69(12.8%) 146(15.5%) Age 0.803 -Mean (SD) 72.62(7.13) 72.50(6.86) 72.26(7.36) 72.40(7.21) Gender, n(%) 0.307 -Female 109(47.0%) 83(48.3%) 282(52.5%) 474(50.4%) -Male 123(53.0%) 89(51.7%) 255(47.5%) 467(49.6%) PT Education 0.665 -Mean (SD) 16.31(2.64) 16.38(2.58) 16.49(2.46) 16.42(2.53) NART IQ 0.365 -N-Miss 10 5 2 17 -Mean (SD) 115.53 (11.55) 116.05 (11.31) 116.77 (11.07) 116.35 (11.23) Detailed inclusion and exclusion criteria for the ADNI study can be found at adni.loni.usc.edu., More de-tails concerning the sMRI images is available on the ADNI homepage (http://adni.loni.usc.edu/methods/mri-tool/mri-analysis/).",['data']
Out-liers were deﬁned in relation to the median absolute deviation of the signal time course (see afni.nimh.nih.gov/pub/dist/doc/program_help/3dToutcount.html for outlier deﬁnition).,['res']
"cai2r.net), a NIBIB Biomedical Technology Resource Center (NIH P41-EB017183).",['no_info']
"Time-frequency analysis We decomposed the epoched EEG time series into time-frequency representations with custom-written MATLAB scripts (github.com/joramvd/tfdecomp)., Code and data availability The code we used for preprocessing EEG are available at https://github.com/joramvd/eegpreproc; The code we used for performing time-frequency analysis are available at https://github.com/joramvd/tfdecomp.",['ana']
A complete listing of ADNI investigators can be found at: http://adni.loni.usc.edu/wp-content/uploads/how_to_apply/ADNI_Acknowledgement_List.pdf.,['res']
"EMC-ZM (Electromagnetic Compatibility -Zero Method, Soleil et al., 1992 , http://danielsoleil.com) measurements were performed and uncovered that the EEG recording room was full of noisy sources from electrical power distribution.",['soft']
"Structural network generation DSI-Studio (http://dsi-studio.labsolver.org , version: December 2020) was used to reconstruct the orientation density functions within each voxel using generalized q-sample imaging with a diﬀusion sam-pling length ratio of 1.25 (Fang-Cheng et al., 2010).",['soft']
"To check the quality of the FreeSurfer outputs, we followed the Enigma protocol (http://enigma.ini.usc.edu/protocols/imaging-protocols/).",['res']
"The data analyzed in this study were all down-loaded from ABIDE repositories: http://preprocessed-connectomes-project.org/and http://fcon_1000.projects.nitrc.org/indi/abide/., The data analyzed in this study were all down-loaded from ABIDE repositories: http://preprocessed-connectomes-project.org/and http://fcon_1000.projects.nitrc.org/indi/abide/.",['data']
"Data and code availability statement The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id = phs000607.v3.p2)., Data and Code Availability The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id = phs000607.v3.p2).",['data']
"The Yale data used in this study to construct edge-centric networks are open-source and available here: http://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html., The Yale data used in this study to construct edge-centric networks are open-source and available here: http://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html.",['data']
Preprocessed data from the ADHD and TD samples were concate-nated and entered into a group independent component analysis (ICA) to identify large-scale networks in the combined population (MELODIC; http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/MELODIC).,['soft']
"We used MarsBar (http://marsbar.sourceforge.net) to extract the mean percent signal change from individual ventral objects, faces and places ROIs for all four experimental conditions.",['soft']
MNE software (http://martinos.org/mne/stable/index.,['soft']
"2.4.4. 1 ‐photon calcium imaging We used the UCLA Miniscope V3 and Data Acquisition Sys-tem (http://miniscope.org/index.php/Guides_and_Tutorials ; Cai et al., 2016).",['res']
"The task was presented using Paradigm soft-ware (http://paradigmexperiments.com) on a Dell computer via MRI-compatible high-resolution goggles (VisuaStim Digital System, Reso-nance Technology Inc., Northridge, CA).",['soft']
"Data preprocessing The ABIDE-I database provided preprocessed T1w and rs-fMRI data, which are openly shared through the Preprocessed Connectomes initia-tive (http://preprocessed-connectomes-project.org/) (Craddock et al., 2013)., The data analyzed in this study were all down-loaded from ABIDE repositories: http://preprocessed-connectomes-project.org/and http://fcon_1000.projects.nitrc.org/indi/abide/., The data analyzed in this study were all down-loaded from ABIDE repositories: http://preprocessed-connectomes-project.org/and http://fcon_1000.projects.nitrc.org/indi/abide/.",['pro_data']
"The data analyzed in this study were all down-loaded from ABIDE repositories: http://preprocessed-connectomes-project.org/and http://fcon_1000.projects.nitrc.org/indi/abide/., The data analyzed in this study were all down-loaded from ABIDE repositories: http://preprocessed-connectomes-project.org/and http://fcon_1000.projects.nitrc.org/indi/abide/.",['pro_data']
"Surface parcellation and Source reconstruction of MEEG data Anatomical preprocessing included an automatic volumetric seg-mentation of the individual MRIs, surface reconstruction and sur-face parcellations, using FreeSurfer image analysis suite (Fischl, 2012) (http://surfer.nmr.mgh.harvard.edu/).",['soft']
"They were based on several image processing pipelines, us-ing Brainvisa (Rivière et al., 2011 , https://brainvisa.info/web/) and Freesurfer (http://surfer.nmr.mgh.harvard.edu/), that were built to: 1) compute anatomical models from the structural MRI preoperative se-quence, 2) normalize this sequence on MNI template, 3) coregister pre-and post-operative sequences in the patient native space with the struc-tural preoperative MRI as reference, using a block matching algorithm, 4) automatically localize depth sEEG electrodes on CT postoperative se-quences, by segmentation of electrode artifacts present on the postop-erative TDM and their classiﬁcation using their distance to the theoret-ical trajectories planned on the stereotactic guidance device (ROSA or Leksell), 5) label all the contacts using the MNI atlases and the patient speciﬁc anatomical models.",['soft']
Neuroimaging data processing Each subject’s structural T1 scan was reconstructed using FreeSurfer v7.1.1 (http://surfer.nmr.mgh.harvard.edu/).,['soft']
"In the ﬁrst fMRI experiment, participants were presented with computer-generated object stimuli in diﬀerent viewing conditions that were taken from the Object Databank (http://wiki.cnbc.cmu.edu/Objects) and from 3dcadbrowser (https://www.3dcadbrowser.com).",['res']
"(2021) , where they also include some surrounding cortical areas, such as the entorhinal and parahippocampal cortex and Brodmann areas 35 and 36. 1 http://www.bic.mni.mcgill.ca/ServicesAtlases/ICBM152NLin2009.",['at_map']
All code for the above analyses (including preprocessing of the CamCAN data) is available online at http://www.github.com/SorenWT/oscifrac2021.,['ana']
"First, all the images were prepro-cessed and segmented using an infant brain dedicated toolbox iBEAT V2.0 Cloud (Wang et al., 2018) (http://www.ibeat.cloud/).",['soft']
"Network based statistics (NBS) : 142 region of interest (ROI) masks were drawn manually (Zerbi et al., 2019 ; Chelini and Zerbi et al., 2019) using ITK-SNAP (http://www.itksnap.org/) including the follow-ing modules: hippocampal formation (HPF), isocortex, cortical subplate, pallidum, striatum, midbrain, thalamus, hypothalamus (HPA) and hind-brain (Fig.",['soft']
"Visualization of results provided by BrainNet Viewer (http://www.nitrc.org/projects/bnv/)., Visualization of results provided by BrainNet Viewer (http://www.nitrc.org/projects/bnv/).",['soft']
"Statis-tical Parametric Mapping software SPM12 (Welcome to Department of Imaging Neuroscience, London, http://www.ﬁl.ion.ucl.ac.uk) was used to process the fMRI data.",['soft']
fMRI data analysis Data pre-processing and model estimation were performed using SPM12 (http://www.ﬁl.ion.ucl.ac.uk/spm).,['soft']
"fMRI data pre ‐processing and ICA analysis A standard preprocessing procedure was implemented using SPM12 (http://www.ﬁl.ion.ucl.ac.uk/spm/), including slice-timing correction, realignment, normalization, spatial smoothing (6-mm smoothing ker-nel), regression of nuisance variables (24 motion parameters, white mat-ter, and cerebrospinal ﬂuid signals), and bandpass ﬁltering (0.008 Hz < f < 0.1Hz) (Cai et al., 2018 , Supekar et al., 2019).",['soft']
"rsfMRI connectivity analysis All data were processed using custom scripts in MAT-LAB (Math Works, Natick, MA), SPM 12 (Welcome Depart-ment of Imaging Neuroscience, University College London; http://www.ﬁl.ion.ucl.ac.uk/spm/.) and the network-based statistics (NBS) toolbox (Zalesky et al., 2010).",['soft']
"Lesion maps were created semi-automatically from patients’ clinical scans using the Clusterize SPM toolbox (SPM12; Clas et al., 2012 ; de Haan et al., 2015) and were then normalized to an age-related template with the algorithm provided by the Clinical toolbox (Rorden et al., 2012) based on SPM8 (http://ﬁl.ion.ucl.ac.uk/spm).",['soft']
"Data used in the preparation of this article were obtained from the Adolescent Brain Cognitive Development SM (ABCD) Study (https://abcdstudy.org), held in the NIMH Data Archive (NDA)., A full list of supporters is available at https://abcdstudy.org/federal-partners.html., A listing of participating sites and a complete listing of the study investigators can be found at https://abcdstudy.org/consortium_members/.",['data']
A listing of participating sites and a complete listing of the study investigators can be found at https://abcdstudy.org/consortium_members/.,['res']
A full list of supporters is available at https://abcdstudy.org/federal-partners.html.,['res']
journals.elsevier.com/neuroimage  and Cerebral Cortex  https://academic.oup.com/cercor  webpages.,['no_info']
(2021) https://appsrv.cse.cuhk.edu.hk/∼qdou/cmb-3dcnn/cmb-3dcnn.html code and labelled data for CMB segmentation Dou et al.,['soft']
"The cortex-wide FC ma-trix was constructed by Pearson’s correlation of time series between every pair of the two brain areas, for which boundaries were de-ﬁned by a multimodal parcellation atlas of Human Connectome Project (https://balsa.wustl.edu/) (Glasser et al., 2016).",['at_map']
"They were based on several image processing pipelines, us-ing Brainvisa (Rivière et al., 2011 , https://brainvisa.info/web/) and Freesurfer (http://surfer.nmr.mgh.harvard.edu/), that were built to: 1) compute anatomical models from the structural MRI preoperative se-quence, 2) normalize this sequence on MNI template, 3) coregister pre-and post-operative sequences in the patient native space with the struc-tural preoperative MRI as reference, using a block matching algorithm, 4) automatically localize depth sEEG electrodes on CT postoperative se-quences, by segmentation of electrode artifacts present on the postop-erative TDM and their classiﬁcation using their distance to the theoret-ical trajectories planned on the stereotactic guidance device (ROSA or Leksell), 5) label all the contacts using the MNI atlases and the patient speciﬁc anatomical models.",['soft']
Data from the Cambridge Center for Aging Neuroscience project can be accessed at https://camcan-archive.mrc-cbu.cam.ac.uk/dataaccess/.,['data']
"Data/code availability statement The data used in this article are openly available through the COINS framework (https://coins.trendscenter.org/)., Data availability The data used in this article are openly available through the COINS framework (https://coins.trendscenter.org/).",['data']
The aforementioned classiﬁcation analysis was performed using the caret R package (https://cran.rproject.org/web/packages/caret/).,['soft']
"Data and code availability statement The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id = phs000607.v3.p2)., Data and Code Availability The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id = phs000607.v3.p2).",['data']
Data and code availability Data from the Human Connectome Project can be accessed at https://db.humanconnectome.org/.,['data']
"Data and code availability statement Supplementary Information and raw data can be downloaded from the website: https://francismanno.github.io/fmanno/, https://osf.io/m3p7t/, and https://drive.google.com/drive/folders/1WICx70 WiHDCI_MZrWipQ_q17mdJ8KDDC?usp = sharing.",['data']
"Data and code availability statement Supplementary Information and raw data can be downloaded from the website: https://francismanno.github.io/fmanno/, https://osf.io/m3p7t/, and https://drive.google.com/drive/folders/1WICx70 WiHDCI_MZrWipQ_q17mdJ8KDDC?usp = sharing.",['data']
(2017) (https://fsl.fmrib.ox.ac.uk/fsl/fslwiki).,['no_info']
It is currently available in https://git.fmrib.ox.ac.uk/rezvanh/sprofumo_develop.,['no_info']
"Quality control of structural MRIs, according to the CoBrA lab-oratory protocol (https://github.com/CoBrALab/documentation/wiki/Motion-Quality-Control-(QC)-Manual) resulted in the exclusion of data from 37 participants (19 young, 4 middle age and 14 older adults; see Bedford, 2017 ; Bedford et al., 2019 ; Snytte et al., 2020 for more infor-mation).",['res']
"readthedocs.io/en/latest/), and the FRF was derived from (https://github.com/DCAN-Labs/functional-random-forest)., readthedocs.io/en/latest/), and the FRF was derived from (https://github.com/DCAN-Labs/functional-random-forest).",['soft']
"Code for the replication of study results can be obtained on Github: https://github.com/Daniel-Adan-Lopez/ABCD_mTBI/blob/main/Rcode., Code for replication of the analyses conducted in this manuscript can be re-trieved at https://github.com/Daniel-Adan-Lopez/ABCD_mTBI/blob/main/Rcode.","['soft', 'ana']"
"2.4.5. 1 ‐photon calcium imaging analysis pipeline The analysis steps were modiﬁed for dCA1 hippocam-pus based on the previous protocol (Lu et al., 2018 ; https://github.com/JinghaoLu/MIN1PIPE).",['soft']
"We derived functional gradients using principal component analysis (PCA), via Brainspace (https://github.com/MICA-MNI/BrainSpace) (Vos de Wael et al., 2020), as this has been demonstrated as having generally a high reliability and prediction power in our recent biomarker study (S.J.",['soft']
"These are publicly available as part of the SMI (standard model imaging) toolbox at https://github.com/NYU-DiﬀusionMRI/SMI., All processing codes for the estimation of the Standard Model (SMI toolbox) are available at https://github.com/NYU-DiﬀusionMRI/SMI.",['soft']
"Data and code for the eﬀective connectivity analysis are available at https://github.com/RDelahoy/DMN_eﬀective_connectivity., Data code/availability statement Data and code for the eﬀective connectivity analysis are available at https://github.com/RDelahoy/DMN_eﬀective_connectivity.","['ana', 'soft']"
"The Mat-lab scripts used for all analyses that follow are available here: https://github.com/SMScottLee/Face_DCM_fMRI., All codes used in the present study are available on Github repository (https://github.com/SMScottLee/Face_DCM_fMRI).","['soft', 'ana']"
"Code used for bench-marking, inference, and summarization/reorganization by atlas is available here: https://github.com/SNeuroble/NBS_benchmarking., Code used for bench-marking, inference, and summarization/reorganization by atlas is available here: https://github.com/SNeuroble/NBS_benchmarking.",['soft']
Code for this project is freely available at https://github.com/SorenWT/oscifrac2021.,['soft']
"The code of the transfer learn-ing is available at https://github.com/XiZhu-CU/Transfer-Learning-Submission., Data and code availability statement MATLAB scripts for cascade neural networks, transfer learning, statistical evaluations, and visualizations can be found here: https://github.com/XiZhu-CU/Transfer-Learning-Submission.",['soft']
https://github.com/Yonsei-MILab/Cerebral-Microbleeds-Detection code for CMB segmentation Al-Masni et al.,['soft']
(2020) https://github.com/Yonsei-MILab/Lacunes-Identiﬁcation code for lacune segmentation Al-Masni et al.,['soft']
"The data analysis used custom-written scripts and routines in MATLAB based on previous code (LeMessurier et al., 2019 ; https://github.com/elifesciences-publications/imaging_analysis_pipeline).",['soft']
", statistical comparisons, con-trol analysis, main running codes) in this study will be uploaded upon the acceptance of this paper (https://github.com/gudtls17/ASD., , statistical comparisons, con-trol analysis, main running codes) in this study will be uploaded upon the acceptance of this paper (https://github.com/gudtls17/ASD.","['ana', 'soft']"
"(2016) https://github.com/hjkuijf/MixLacune code for lacune segmentation –https://valdo.grand-challenge.org/""Where is VALDO"" challenge, including segmenting PVS, CMB and lacunes, with example training data –https://github.com/hjkuijf/MixMicrobleed ; https://hub.docker.com/r/hjkuijf/mixmicrobleed Code for a deep learning-based toolbox to detect and segment CMB, participating in 2021 ‘Where is VALDO’ challenge.",['soft']
"(2021) https://github.com/hjkuijf/MixMicrobleedNet ; https://hub.docker.com/r/hjkuijf/mixmicrobleednet Code for a deep learning-based toolbox to detect and segment CMB, participating in 2021 ‘Where is VALDO’ challenge.",['soft']
NeuroImage 260 (2022) 119494 Data and code availability Statement All atlas ﬁles and python codes are currently available at this address: https://github.com/iBen-foundation/iBen-atlas.,['at_map']
"Code availability All the Matlab and R codes used for source reconstruction, dFC, tICA, backﬁtting and microstate metrics, as well as all subsequent sta-tistical analyses are publicly available at https://github.com/jduprez/EEGcog-control_dynFC_PD., Data and code availability statement All the codes used to perform the analyses are available at https://github.com/jduprez/EEGcog-control_dynFC_PD.","['soft', 'ana']"
Code and data availability The code we used for preprocessing EEG are available at https://github.com/joramvd/eegpreproc; The code we used for performing time-frequency analysis are available at https://github.com/joramvd/tfdecomp.,['soft']
Code and data availability The code we used for preprocessing EEG are available at https://github.com/joramvd/eegpreproc; The code we used for performing time-frequency analysis are available at https://github.com/joramvd/tfdecomp.,"['soft', 'ana']"
"Estimation of age-related cortical thickness diﬀerences Structural preprocessing harnessed the CAT12 surface-based mor-phometry pipeline (CAT12.7 r1743; https://github.com/m-wierzba/cat-container) for surface reconstruction and cortical thickness mea-surement building upon a projection-based thickness estimation method (Dahnke et al., 2013 ; Gaser et al., 2022 ; Yotter et al., 2011 ; Yotter et al., 2011).",['soft']
"Furthermore, a variogram-based null model preserving spatial autocorrelation which is implemented in the brainSMASH toolbox was applied (https://github.com/murraylab/brainsmash) (Burt et al., 2020).",['soft']
Code availability SANDI code is available on GitHub at https://github.com/palombom.,['soft']
"Partial least squares correlation To analyze the correspondence of cortical thickness measures with phenotypical data in individuals from the HCHS, we performed a partial least squares (PLS) correlation analysis using pyls (https://github.com/rmarkello/pyls).",['soft']
"The analyses pipeline was implemented using custom MATLAB scripts (https://github.com/stephenwhitmarsh/EpiCode), and used FieldTrip (Oostenveld et al., 2011), a MATLAB (The Mathworks Inc., Natick, Massachusetts) toolbox for MEEG and spike analyses.","['ana', 'soft']"
Code availability Code for the model and analysis in this paper can be found in https://github.com/yingqiuz/predict-task-individual-variability.,"['soft', 'ana']"
"(2016) https://github.com/hjkuijf/MixLacune code for lacune segmentation –https://valdo.grand-challenge.org/""Where is VALDO"" challenge, including segmenting PVS, CMB and lacunes, with example training data –https://github.com/hjkuijf/MixMicrobleed ; https://hub.docker.com/r/hjkuijf/mixmicrobleed Code for a deep learning-based toolbox to detect and segment CMB, participating in 2021 ‘Where is VALDO’ challenge., (2021) https://github.com/hjkuijf/MixMicrobleedNet ; https://hub.docker.com/r/hjkuijf/mixmicrobleednet Code for a deep learning-based toolbox to detect and segment CMB, participating in 2021 ‘Where is VALDO’ challenge.",['soft']
"(2021) https://github.com/hjkuijf/MixMicrobleedNet ; https://hub.docker.com/r/hjkuijf/mixmicrobleednet Code for a deep learning-based toolbox to detect and segment CMB, participating in 2021 ‘Where is VALDO’ challenge.","['mod', 'soft']"
Access can be requested at https://nda.nih.gov/abcd/.,['data']
"It consists of 19 participants with an age range of 23–37 years (note that this is a superset of the participants available on OpenNeuro, https://openneuro.org/datasets/ds000117).",['data']
Data availability The data sets generated and analysed during the current study are available on OpenNeuro: https://openneuro.org/datasets/ds003959/versions/1.0.1.,['data']
"Tavor). 1 ORCID iD https://orcid.org/0000-0002-9117-4449 used as a ﬁngerprint to detect identity (Finn et al., 2015), to correlate with behavioral and demographic measurements (Smith et al., 2015) as well as personality traits (Cai et al., 2020; Dubois et al., 2018a), and was also linked to individuals’ genetic proﬁle (Colclough et al., 2017).",['no_info']
Data and code availability statement The data and analysis scripts are available on OSF: https://osf.io/8nbd4/.,"['ana', 'data']"
"See https://osf.io/cw8t2/for our anal-ysis code., Data availability The code to reproduce the analyses shown in the paper in full is available free of charge from https://osf.io/cw8t2/.",['ana']
See https://osf.io/cw8t2/for our anal-ysis code.,['ana']
"Data and code availability The data used in the study as well as the software and scripts used to compute the analysis have been made publicly available via the Open Science Framework and can be accessed at: https://osf.io/j9vka/Supplementary materials Supplementary material associated with this article can be found, in the online version, at doi:10.1016/j.neuroimage.2022.119055.","['ana', 'data', 'soft']"
Data availability statement Data and code are available online (https://osf.io/jkcys/).,"['soft', 'data']"
"Data and code availability statement Supplementary Information and raw data can be downloaded from the website: https://francismanno.github.io/fmanno/, https://osf.io/m3p7t/, and https://drive.google.com/drive/folders/1WICx70 WiHDCI_MZrWipQ_q17mdJ8KDDC?usp = sharing.",['data']
"However, as we demonstrate in an extreme example in Fig. 1 (along with the electrode recording ﬁltered between 300 –6000 Hz, converted to an audio ﬁle and uploaded to osf.io; link here: https://osf.io/s4ydx/), recording speech-related activity from an array of high impedance elec-trodes (tungsten microelectrodes, Alpha Omega Co., Inc., Alpharetta, GA) implanted in the subthalamic nucleus of Parkinson’s patients un-dergoing surgery for implantation of deep-brain stimulation (DBS) elec-trodes, it is possible for there to be a clear artifact present in the fre-quency ranges that would commonly be analyzed for unit activity when time-locked to the speech event., It is clear from this spectrogram and the full micro-electrode recording converted to audio (https://osf.io/s4ydx/) that this voice contamination is breaching into frequencies above 300 Hz.",['data']
"However, as we demonstrate in an extreme example in Fig. 1 (along with the electrode recording ﬁltered between 300 –6000 Hz, converted to an audio ﬁle and uploaded to osf.io; link here: https://osf.io/s4ydx/), recording speech-related activity from an array of high impedance elec-trodes (tungsten microelectrodes, Alpha Omega Co., Inc., Alpharetta, GA) implanted in the subthalamic nucleus of Parkinson’s patients un-dergoing surgery for implantation of deep-brain stimulation (DBS) elec-trodes, it is possible for there to be a clear artifact present in the fre-quency ranges that would commonly be analyzed for unit activity when time-locked to the speech event., It is clear from this spectrogram and the full micro-electrode recording converted to audio (https://osf.io/s4ydx/) that this voice contamination is breaching into frequencies above 300 Hz.",['data']
Data Availability Data and code supporting the reported analyses are available at osf.io (https://osf.io/wh4ua/).,"['data', 'ana']"
(https://reserveandresilience.com/).,['no_info']
"Registration To create the template, the P56 Mouse Brain Atlas in NIFTY format (https://scalablebrainatlas.incf.org/mouse/ABA_v3) was downsampled to match the resolution of the dMRI data, namely 0.12 ×0.12 ×0.4 mm.",['at_map']
"The De-strieux and DKT atlases are also structural atlases, and already in-corporated into one of the most commonly used neuroimaging soft-ware, FreeSurfer (https://surfer.nmr.mgh.harvard.edu).",['soft']
"For all images that passed quality check, cross-sectional image processing was performed using FreeSurfer Ver-sion 7.1.1 (https://surfer.nmr.mgh.harvard.edu/).",['soft']
"The events were ordered in an optimal rapid event-related design speciﬁed by optseq2 (Dale, 1999 ; https://surfer.nmr.mgh.harvard.edu/optseq).","['res', 'soft']"
"To this end, the ‘Where is VALDO –V a s c u l a r Lesions Detection Challenge’ (https://valdo.grand-challenge.org/Description/) is a good initiative.",['data']
"URL ""https://www.R-project.org"".)) and lme4 package (v1.1-27.1, Bates et al., 2014 , p.",['no_info']
"To further in-crease the signal-to-noise ratio, an additional smoothing of 4mm FWHM was applied to the MSMAll-registered data (with subcor-tical structures smoothed within parcel boundaries, and cortical data smoothed in 2D on the surface) using the Connectome Work-bench (https://www.humanconnectome.org/software/connectome-workbench).",['soft']
"Human connectome project data We used the MSMAll-registered data provided by the Human Connectome Project (HCP), S1200 Release (https://www.humanconnectome.org/study/hcp-young-adult).",['data']
These templates are made available to the scientiﬁc community (https://www.ibenfund.com/ressources) and could be used in a regis-tration pipeline.,['soft']
"NeuroImage 254 (2022) 118986 tions) allowed their de-identiﬁed intracranial EEG (iEEG) data to be publicly available for research purposes on the International Epilepsy Electrophysiology Portal (https://www.ieeg.org) Kini et al., iEEG snippets used speciﬁ-cally in this manuscript are also available, while full iEEG recordings are publicly available at https://www.ieeg.org., iEEG snippets used speciﬁ-cally in this manuscript are also available, while full iEEG recordings are publicly available at https://www.ieeg.org.",['data']
"Here, we used the Boundary Element Method (BEM) head model ﬁtted to the ICBM MRI template (Kötter et al., 2001), downloaded from https://www.mcgill.ca/bic/software/tools-data-analysis/anatomical-mri/atlases/icbm152lin using the OpenMEEG toolbox (Gramfort et al., 2010), and used the Electrical Geodesic Inc (EGI) conﬁguration for the EEG electrodes.",['at_map']
"Data and code availability statement The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id = phs000607.v3.p2)., Data and Code Availability The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id = phs000607.v3.p2).",['data']
Retrieved from https://www.ncbi.nlm.nih.gov/pubmed/11939702.,['no_info']
Retrieved from https://www.ncbi.nlm.nih.gov/pubmed/8139057.,['no_info']
"Code used for node-centric and edge-centric network construction can be found at https://www.nitrc.org/projects/bioimagesuite/., Code used for node-centric and edge-centric network construction can be found at https://www.nitrc.org/projects/bioimagesuite/.",['soft']
"Therefore, our 4D atlas is a good choice for studying early brain growth patterns and other clinical applications, which will be publicly available on NITRC (https://www.nitrc.org/projects/uncbcp_4d_atlas/) website to remark-ably facilitate the studies on early human brain development.",['at_map']
"Dataset The multi-modal (MRI, EEG, MEG) human neuroimaging dataset is available on OpenfMRI (https://www.openfmri.org/dataset/ds000117/; Wakeman & Henson, 2015).",['data']
journals.elsevier.com/neuroimage  and Cerebral Cortex  https://academic.oup.com/cercor  webpages.,['no_info']
Data Availability Data and code supporting the reported analyses are available at osf.io (https://osf.io/wh4ua/).,"['ana', 'data']"
"We carried out MVPA using the PyMVPA software package (Hanke et al., 2009) and the LibSVM’s implementation of the linear support vector ma-chine classiﬁer (LSVM www.csie.ntu.edu.tw/∼cjlin/libsvm).",['soft']
Private sector contributions are facilitated by the Foundation for the National Institutes of Health (www.fnih.org).,['pers_inst']
"Functional images were co-registered to the skull-stripped anatomical images and normalized to the Australian Mouse Brain Mapping Consortium template (Janke et al., 2015 ; www.imaging.org.au/AMBMC/Model/) using SPM12.",['at_map']
"Funding JD was funded by the Rennes Clinical Neuroscience Institute (INCR: www.incr.fr)., We also would like to thank Bretagne Atlantique Ambition (BAA) as well as the Rennes Clinical Neu-roscience Institute (INCR: www.incr.fr), and the Ille-et-Vilaine Parkin-sonian Association (APIV) who funded this work.",['pers_inst']
We used MRIcroGL (www.mccauslandcenter.sc.edu/mricrogl/) to visualize the results.,['soft']
The 3D ﬁgure was realized using BrainNet viewer (www.nitrc.org).,['soft']
"Seed-based d mapping The SDM-PSI (www.sdmproject.com) software imputes the brain maps of statistical eﬀects for each study and conducts a standard random-eﬀects meta-analysis to test whether the eﬀects are diﬀerent from zero (Albajes-Eizagirre et al., 2019a).",['soft']
fMRI analysis and ROI selection The fMRI data were pre-processed using the SPM12 software (www.ﬁl.ion.ucl.ac.uk/spm).,['soft']
